overlappercentage	precision	recall	f1	f05	time
0.0	0.953464322647363	0.90748031496063	0.9299041855774081	0.943898443898444	45 min 43 s.
5.0	0.9912376779846659	0.890748031496063	0.9383100051840331	0.9693658954584403	28 min 11 s.
10.0	0.9912376779846659	0.890748031496063	0.9383100051840331	0.9693658954584403	41 min 4 s.
15.0	0.9912376779846659	0.890748031496063	0.9383100051840331	0.9693658954584403	16 min 41 s.
20.0	0.9923161361141603	0.889763779527559	0.9382459782044628	0.9699570815450643	16 min 16 s.
25.0	0.9922992299229924	0.8877952755905512	0.937142857142857	0.969475494411006	16 min 12 s.
30.0	0.9922992299229924	0.8877952755905512	0.937142857142857	0.969475494411006	16 min 16 s.
35.0	0.9922907488986784	0.8868110236220472	0.9365904365904366	0.9692340791738381	16 min 17 s.
40.0	0.9922566371681416	0.8828740157480315	0.934375	0.9682642487046632	16 min 13 s.
45.0	0.9922394678492239	0.8809055118110236	0.9332638164754953	0.9677768166089964	16 min 27 s.
50.0	0.9922048997772829	0.8769685039370079	0.9310344827586206	0.9667968749999999	16 min 29 s.
55.0	0.9921259842519685	0.8681102362204725	0.925984251968504	0.9645669291338582	16 min 32 s.
60.0	0.9921259842519685	0.8681102362204725	0.925984251968504	0.9645669291338582	16 min 18 s.
65.0	0.9920993227990971	0.8651574803149606	0.9242902208201893	0.9638157894736842	16 min 25 s.
70.0	0.993127147766323	0.8533464566929134	0.9179460031762838	0.9616237799467614	16 min 24 s.
75.0	0.9930635838150289	0.8454724409448819	0.9133439659755449	0.9595621090259161	45 min 32 s.
80.0	0.9929161747343566	0.827755905511811	0.9028448738593666	0.9548138056312443	29 min 37 s.
85.0	0.9926289926289926	0.7952755905511811	0.8830601092896176	0.945692883895131	16 min 43 s.
90.0	0.9920948616600791	0.7411417322834646	0.8484507042253522	0.9291707798617966	16 min 42 s.
95.0	0.9911894273127754	0.6643700787401575	0.7955215085444903	0.9024064171122995	16 min 28 s.
